College Name,Total Sanctioned Intake(Nt),Total Actual Students(Ne),Total Ph.D Students(Np),N,Total Faculties,CE_2021-22,CE_2020-21,CE_2019-20,OE_2021-22,OE_2020-21,OE_2019-20,Total Capital Expenditure(BC),Total Operational Expenditure(BO),FSR_cal,FRU_cal,SS_tv(20),FSR_tv(30),FQE_tv(20),FRU_tv(30),TLR_tv(100),PU_tv(35),QP_tv(40),IPR_tv(15),FPPP_tv(10),RP_tv(100),GPH_tv(40),GUE_tv(15),MS_tv(25),GPHD_tv(20),GO_tv(100),RD_tv(30),WD_tv(30),ESCS_tv(20),PCS_tv(20),OI_tv(100),PR_tv(100),Score_tv(100)
Aligarh Muslim UniversityMore DetailsClose ,2101,2432,263,2364,233,7504.101380295097,8406.596858638743,10791.56068538791,515554.36458829127,340548.5249881009,467314.8810090433,8900.752974773917,441139.25686181185,30.0,22.20333461091584,11.00,30.00,16.17,12.90,70.07000000000001,24.95,25.86,7.00,2.03,59.84,29.42,12.61,1143,5.66,1190.69,5.38,11.59,3.23,20.00,40.2,24.51,283.58200000000005
Amity University Haryana,950,933,275,1225,127,1426.2747368421053,956.8473684210526,3587.178947368421,163486.7957894737,168090.5347368421,182371.60842105263,1990.1003508771928,171316.31298245615,30.0,22.327753026047905,7.89,30.00,19.07,7.19,64.15,7.37,9.42,4.00,0.94,21.73,19.08,15.00,9.24,1.98,45.3,26.12,2.83,20.00,7.93,56.88,7.93,41.30500000000001
Amity UniversityMore DetailsClose ,6450,5970,989,7439,507,1908.053488372093,1607.7210852713179,3857.6551937984495,260821.60062015505,214078.54914728683,275471.69627906976,2457.80992248062,250123.94868217054,30.0,22.354038751488325,15.50,27.54,14.73,8.52,66.28999999999999,24.90,24.96,11.00,0.61,61.47,27.37,15.00,10.18,5.73,58.28,15.99,23.28,0.16,20.00,59.43,13.75,57.30199999999999
Amrita Vishwa VidyapeethamMore DetailsClose ,12321,12543,979,13300,1087,38972.3896599302,14652.000568135703,6769.855855855856,251042.63688012338,150786.4124665206,158866.50531612695,20131.415361307256,186898.5182209236,30.0,21.041412706874738,18.00,30.00,18.21,10.22,76.43,23.06,21.55,8.00,1.94,54.55,34.36,15.00,10.21,2.28,61.85,17.66,21.95,5.44,20.00,65.05,33.77,61.54600000000001
Anna UniversityMore DetailsClose ,12822,10763,1675,14497,888,22594.99641241616,39451.23350491343,33709.19965683981,226387.00608329434,194508.78365309624,211778.72664170957,31918.476524723133,210891.50545936672,27.56432365316962,20.52818177424757,17.59,23.20,13.15,9.98,63.92,27.40,32.94,12.00,2.14,74.48,21.60,14.37,11.72,12.25,59.94,0.59,25.29,4.14,20.00,50.019999999999996,65.50,65.06
Atal Bihari Vajpayee Indian Institute of Information Technology and ManagementMore DetailsClose ,948,937,51,999,46,26370.604430379746,21668.189873417723,25232.4694092827,276552.30274261604,270463.0253164557,290662.864978903,24423.754571026722,279226.0643459916,20.72072072072072,21.293490739194155,643,2039,1431,1142,5255.0,942,1054,0.00,0.86,1996.86,3683,15.00,2140,141,5979.0,2210,1254,344,2000,5808.0,6.60,3952.818
AU College of Engineering (A)More DetailsClose ,3194,3194,308,3502,221,171122.62116468378,173147.63431433938,181512.22510958047,264269.32999373827,217448.54571070758,174601.67971195994,175260.82686286786,218773.18513880193,28.398058252427184,15.828209436570472,12.50,20.56,11.69,14.42,59.17,4.13,4.52,3.00,1.33,12.979999999999999,38.72,15.00,11.16,7.19,72.07,2.51,28.10,6.19,20.00,56.8,5.92,42.330999999999996
Banasthali VidyapithMore DetailsClose ,4044,3197,202,4246,276,18335.373145400594,21946.304896142432,21550.094708209694,174792.01360039564,159093.83382789316,152741.93348170127,20610.59091658424,162209.26030333003,29.251059821008006,20.808942591924133,11.49,27.77,16.58,8.58,64.42,7.86,10.59,2.00,0.81,21.259999999999998,36.89,15.00,12.41,8.23,72.53,30.00,449,20.00,4.16,503.16,4.16,90.94200000000001
Birla Institute of Technology  & Science -PilaniMore DetailsClose ,12475,12340,709,13184,655,31588.716472945893,28325.735310621243,63159.52849699399,278869.8914629259,235911.60577154308,228693.00609218437,41024.660093520375,247824.83444221775,22.356644417475728,20.36958290374758,18.84,20.20,13.36,11.77,64.17,21.38,26.68,4.00,0.81,52.870000000000005,36.98,15.00,19.66,6.76,78.4,19.93,14.43,0.02,20.00,54.38,32.88,59.518
Birla Institute of TechnologyMore DetailsClose ,3668,3325,337,4005,279,30215.702017448202,21870.534351145037,41045.99372955289,290803.2813522355,227483.77589967285,232341.0038167939,31044.076699382043,250209.35368956742,30.0,20.844336103396994,12.52,27.61,16.44,11.19,67.75999999999999,17.80,17.36,0.50,1.35,37.01,25.77,13.74,15.13,4.92,59.56,1149,18.90,1.01,20.00,1188.91,22.01,164.435
